period,oha,ohv,ogs,ocp,ocf
1,4342.919392180394,536246.2,6386371.843879562,27061581.289415713,0.0
2,4560.065361789416,509433.88999999984,8428994.922580319,28241905.066961437,0.0
3,4560.065361789417,509433.88999999984,10756639.355148531,29444302.192569334,0.0
4,4560.065361789417,509433.8899999998,13213780.533509258,30629657.306956284,0.0
5,4560.065361789416,509433.8899999998,15657840.368333656,31769004.441947453,0.0
6,4125.7734225713775,509433.8899999998,17977272.994415965,32868709.400549676,0.0
7,4125.773422571377,509433.8899999999,20093323.874252506,33945916.876358725,0.0
8,4125.773422571376,509433.8899999997,21978744.081754487,34995024.91440115,0.0
9,4125.773422571376,509433.88999999955,23608326.618501026,35944266.33006219,0.0
10,4125.773422571376,509433.8899999999,25007348.399006687,36750734.72121744,0.0
