period,oha,ohv,ogs
1,6219.0620498606595,383034.0,6566621.490938385
2,6530.01515235369,402185.69999999995,8650766.678405626
3,5908.108947367625,402185.6999999999,10944171.456883907
4,5908.108947367626,402185.70000000007,13287798.124171624
5,5908.108947367627,402185.69999999984,15562435.142443597
6,5908.108947367625,402185.69999999995,17663216.01699207
7,5908.1089473676275,402185.69999999995,19558836.31068921
8,5908.108947367626,402185.70000000007,21234703.001693513
9,6320.807998151406,402185.69999999995,22640332.314828675
10,6530.015152353691,402185.70000000007,23755218.1415427
