period,oha,ohv,ogs,ocp,ocf
1,513.9353784086389,76606.60000000002,6927124.314467798,27245670.666859414,0.0
2,539.6321473290708,72776.26999999999,9520427.592975773,28634128.38292612,0.0
3,539.6321473290708,72776.27,12446559.603063451,30085626.55592489,0.0
4,529.6072997471485,72776.27,15533228.40441631,31566035.749518197,0.0
5,488.23860948820686,72776.27,18618727.748425443,33044721.11406167,0.0
6,488.23860948820726,72776.27,21578151.171965104,34491347.34644122,0.0
7,488.23860948820686,72776.27000000002,24320163.439527567,35876071.17938032,0.0
8,488.2386094882069,72776.27000000002,26788703.010823015,37173683.64576951,0.0
9,488.2386094882069,72776.27,28938758.9713201,38369981.435241595,0.0
10,539.6321473290708,80436.93,30734407.62335449,39442697.80721503,0.0
