period,oha,ohv,ogs,ocp,ocf
1,20.22399257832374,2371.188620362118,7014460.092561489,27271918.527569056,0.0
2,19.212792949407547,2489.748051380224,9694838.61082891,28693484.061966714,0.0
3,19.212792949407543,2489.748051380224,12710540.976503022,30177050.89396083,0.0
4,19.21279294940755,2489.7480513802243,15885435.68079287,31685858.856827028,0.0
5,19.212792949407557,2489.748051380224,19054895.358814713,33190501.89046118,0.0
6,21.235192207239933,2252.629189344012,22089627.069706127,34661872.28639867,0.0
7,21.235192207239933,2252.6291893440116,24894639.573654547,36069428.59592513,0.0
8,21.235192207239933,2252.629189344012,27415467.00086422,37388008.157930866,0.0
9,21.23519220723993,2252.6291893440116,29606758.648937717,38592571.23111419,0.0
10,20.96639230588246,2252.6291893440116,31447602.784029547,39674924.32915455,0.0
