period,oha,ohv,ogs
1,6195.276876038335,766066.0,6115995.608585445
2,6505.040719840252,727762.6999999993,7870067.152069793
3,6505.0407198402545,727762.6999999998,9847910.883786682
4,6220.843301073337,727762.6999999997,11865514.745860264
5,5885.513032236418,727762.6999999997,13797203.058154296
6,5885.513032236418,727762.7,15558632.46723569
7,5885.513032236418,727762.6999999998,17110735.59406841
8,5885.5130322364175,777466.6027527329,18401464.10204796
9,5885.513032236419,727762.6999999995,19527035.496182717
10,5885.513032236422,727762.7000000004,20444217.216997508
