period,oha,ohv,ogs
1,2197.3244960619754,429144.00000000006,17513934.47848052
2,2246.6394165763727,407686.8000000001,21029970.13336209
3,2092.17292113227,407686.80000000005,24870440.929146413
4,2087.4582712588763,407686.80000000005,28905824.052837655
5,2087.4582712588754,409102.01881754084,32895583.504988026
6,2087.458271258876,415381.6809058054,36676248.07395411
7,2087.4582712588763,410559.3486834631,40180796.14286666
8,2087.458271258876,407686.80000000005,43364476.27094166
9,2087.4582712588767,407686.80000000005,46205794.48058801
10,2087.458271258876,407686.8,48775598.122793145
