period,oha,ohv,ogs
1,7513.211841359388,536431.0000000002,17387714.478480525
2,7212.365272780472,563252.5499999996,20651760.517187774
3,7888.8724334273575,563252.5500000003,24206751.385274086
4,7137.551249291418,563252.5500000003,27859662.23437176
5,7378.48921099955,563252.5500000003,31376603.79967031
6,7137.551249291417,563252.5500000003,34707260.77276523
7,7888.872433427356,563252.55,37715549.89726109
8,7888.8724334273575,563252.5500000002,40422100.0203424
9,7137.551249291416,563252.55,42740519.74033226
10,7888.872433427357,563252.5500000003,44859951.23824997
