period,oha,ohv,ogs
1,21339.101372072444,2462443.278094144,15121817.680722708
2,20272.14630346882,2339321.114189435,16154538.670373918
3,20272.14630346882,2339321.1141894357,17381162.941815227
4,20272.14630346882,2339321.1141894343,18718552.399527866
5,20272.14630346884,2585565.44199885,19661565.45141728
6,20272.14630346884,2585565.441998851,20377907.535498936
7,22406.056440676053,2585565.44199885,20816516.778868236
8,22406.05644067606,2585565.4419988524,20951055.344635487
9,22406.056440676068,2585565.441998853,20831321.587945692
10,22406.05644067606,2585565.4419988524,20549888.200732682
