period,oha,ohv,ogs,ocp,ocf
1,85.16621177551812,19443.908130410236,17995934.586562395,49920973.09243982,3169117.071577439
2,80.90790118674221,18471.712723889723,21990187.282834005,50208161.115796454,3059315.8533005444
3,80.90790118674218,18471.71272388972,26324898.204204395,50857598.27034885,3064541.149251668
4,80.9079011867422,18552.462114423233,30859277.876335733,51779035.151202336,3132755.814154065
5,80.90790118674221,18649.14212917263,35340976.19606434,52506358.02511872,3203574.1057482194
6,88.32807658838233,20416.10353693075,39610015.03849222,52938948.42021556,3252353.3517492223
7,89.42452236429405,20416.10353693075,43576005.666865245,53412114.29763445,3303009.228182208
8,89.42452236429405,20416.10353693075,47187854.72852909,53925065.603379354,3354630.355850775
9,89.42452236429402,20416.10353693075,50411397.45882492,54457039.863249354,3404220.097132586
10,89.42452236429402,20416.103536930746,53316100.23705189,54981783.817462295,3450894.7884804304
