period,oha,ohv,ogs,ocp,ocf
1,23519.146008589356,5476658.399999999,100139829.86518021,157712741.21705672,8605135.27345181
2,22343.188708159905,5202825.480000002,105742387.7001612,158118208.31704023,8572705.957542159
3,22343.18870815989,5202825.479999996,111494871.94308016,158736764.44164622,8572227.632506795
4,22343.188708159887,5202825.480000006,117060249.85500954,159591091.79280093,8607330.383818762
5,24695.103309018847,5202825.480000004,122145414.76078919,160655148.5366641,8637167.977720158
6,24695.10330901882,5202825.480000011,126587052.46912642,161793464.80446696,8664857.4503523
7,24695.103309018832,5202825.480000001,130329564.06540164,162930369.426393,8684496.164452927
8,24695.10330901884,5750491.320000005,132683620.90689194,163600672.37360585,8668110.529209863
9,24695.10330901884,5750491.320000003,134219867.925723,163874695.3005662,8659641.66452325
10,24695.103309018818,5750491.320000005,134900226.4082126,163863991.23149884,8642413.089773968
