period,oha,ohv,ogs,ocp,ocf
1,28261.247554525107,6389434.799999999,99065975.27694489,157680590.07056606,8555088.895661319
2,26848.185176798874,6069963.060000004,103664677.16240053,157965092.3580279,8523461.822148377
3,26848.18517679885,6069963.059999991,108416850.93069027,158353442.71449757,8501723.513945827
4,26848.185176798863,6069963.06,112976416.21716556,159037348.68587217,8527734.300222011
5,29471.055252398524,6069963.060000008,117077729.84221067,159911364.99943805,8539248.187893352
6,29674.30993225135,6069963.060000001,120586411.85780822,160861040.19882667,8554841.001218505
7,29674.309932251403,6069963.059999998,123438270.49048217,161819994.20209205,8561956.287094528
8,29674.30993225138,6708906.540000004,124835519.71853471,162332552.35742024,8532093.411269495
9,29674.30993225138,6708906.540000003,125458835.77145016,162480896.86049294,8515993.557518525
10,29674.309932251366,6708906.540000006,125282530.61014907,162377425.79122534,8495753.767883565
