period,oha,ohv,ogs
1,42358.9070992132,8214988.599999999,96918264.92400369
2,44476.85245417383,8625738.030000009,98428980.24396183
3,44476.852454173866,8625738.030000007,99801526.40733013
4,44476.852454173895,8625738.030000007,100852989.87194984
5,44476.852454173895,8625738.030000012,101492343.1336258
6,44476.85245417382,8625738.030000009,101808907.7927252
7,43391.231097901065,8625738.030000003,101863176.98447163
8,43899.47015594488,8625738.030000005,101753949.9277819
9,42934.88647916139,8625738.03000001,101554592.45378451
10,40240.96174425257,8625738.030000009,101337326.69942477
