period,oha,ohv,ogs,ocp,ocf
1,15564.974716560142,3734752.3619297007,102189131.08643937,157791350.9125421,8698025.776324142
2,14786.725980732132,3548014.7438332164,109716545.70810534,158482727.65890375,8671383.781046597
3,14786.725980732148,3548014.743833216,117376439.45879462,159448161.35739687,8692297.973461973
4,14786.725980732128,3548014.743833219,124798289.36232428,160620154.59602925,8744190.388501719
5,16343.22345238814,3548014.7438332164,131651871.24478325,162012184.71740422,8796339.1808648
6,16343.223452388147,3548014.7438332187,137799953.57625413,163505077.5056937,8850789.33919716
7,16343.223452388147,3548014.7438332196,143130025.36799,164955417.18415034,8891855.859308653
8,16343.223452388156,3921489.9800261883,147125218.8804365,165893013.46044508,8901112.946642427
9,16343.223452388158,3921489.980026187,150147881.0539447,166400691.368423,8906319.088516312
10,16343.223452388154,3921489.980026187,152131508.45019704,166564259.1341378,8895556.836100725
