period,oha,ohv,ogs,ocp,ocf
1,226.84870581194545,50057.82545480918,106524065.83523339,157791883.29094106,8856678.250264565
2,0.0,0.0,118166173.71132316,158967956.89195254,8836934.110201765
3,0.0,0.0,129932058.71578401,160637647.5939363,8903148.265181318
4,0.0,0.0,141438466.31144026,162553544.1135425,9009091.515625773
5,114.8820748439535,21111.740678389677,152293678.62076798,164616562.4220256,9111451.910518926
6,1121.0907517384699,207426.78031201742,162045003.6768812,166698108.80366352,9199539.129779484
7,3819.7234894701483,606795.339211827,170241669.62003857,168674449.788027,9268314.407037947
8,6138.472195576309,1027997.4707797313,176694650.09943518,170052036.63719755,9306936.052492514
9,245221.51303869442,51128805.48404433,122906854.12729016,171216086.5888666,6978567.520084048
10,339431.91810016433,70535408.48564334,44835695.648712724,158568033.77313736,4859537.612285606
