period,oha,ohv,ogs,ocp,ocf
1,13284.529214438013,2738329.1999999997,103361393.62988609,157274850.47910488,-1733679.0233365272
2,12723.484703935741,2601412.740000001,111969670.46318331,157737813.76416954,-2166974.884895436
3,13285.736440010625,2601412.740000001,120743901.14345169,158616035.7372916,-2423395.7905809963
4,13948.755675159913,2601412.740000002,129421324.08846216,159827933.00702944,-2574573.7732668226
5,13948.75567515992,2601412.7399999993,137769182.0027783,161332034.98895705,-2662071.5539681134
6,13948.755675159915,2601412.7400000007,145622805.12460703,162981514.91612974,-2697523.581181418
7,13948.755675159911,2601412.740000001,152850534.36630407,164409134.68475553,-2716857.992042233
8,12620.302753716107,2601412.74,159215625.50791696,165478156.2233178,-2757389.5684551243
9,12620.302753716118,2601412.740000002,164575959.2600025,166402647.17133448,-2778000.0498475092
10,12620.302753716116,2601412.740000001,169046930.3826211,167154246.652859,-2761905.703886121
