period,oha,ohv,ogs
1,9142.703136263595,2738329.1999999997,103361393.62988609
2,9599.838293076784,2601412.7399999998,111980487.75823288
3,9264.011539402316,2601412.739999998,120761540.11991735
4,9005.725870002798,2601412.739999997,129362927.77303877
5,9139.574289570026,2601412.739999999,137507569.94470432
6,9186.42815932672,2601412.739999998,144999744.50914392
7,8965.107878678735,2601412.7399999993,151671559.42229962
8,8932.186862553459,2601412.7399999993,157384244.30975285
9,8685.56797945042,2601412.739999997,162092234.29993594
10,8685.567979450414,2601412.739999997,165736682.0510442
