period,oha,ohv,ogs
1,17058.38668994866,1372310.8113946228,5402766.418709421
2,16205.46735545122,1303695.2708248901,6320309.165257384
3,16205.46735545121,1303695.2708248894,7291065.555590163
4,16205.46735545122,1303695.2708248913,8191778.9282438895
5,16205.467355451221,1440926.3519643536,8789350.885971945
6,17526.299692992492,1440926.3519643536,9168978.62018736
7,17911.30602444609,1440926.3519643543,9324061.189776072
8,17911.306024446087,1440926.3519643527,9257112.366475163
9,17911.306024446083,1440926.3519643524,8992785.679607878
10,17911.306024446076,1440926.3519643527,8555271.449270913
