period,oha,ohv,ogs
1,10016.855842773113,766066.0,6115995.608585443
2,10517.698634911774,804369.2999999989,7706649.237441
3,10517.698634911772,804369.3,9449040.340465005
4,9883.658566777258,804369.3,11168853.907488802
5,9516.013050634452,804369.3,12773744.75414846
6,9690.085687582376,804369.2999999997,14190110.431198394
7,9516.013050634458,804369.2999999997,15368080.217183067
8,9516.013050634452,804369.3000000003,16341280.203389265
9,9516.013050634458,804369.2999999997,17135848.76843232
10,10124.521270977522,804369.2999999996,17744903.839881226
