period,oha,ohv,ogs,ocp,ocf
1,1958.2896188494276,356472.3369448716,106163578.17465684,157810549.46769664,8844244.350880746
2,1860.3751379069558,338648.7200976278,117405950.58685198,158963672.04946393,8822741.733651185
3,1860.3751379069563,338648.7200976277,128769228.67810567,160599283.10992932,8885323.453789722
4,2029.2169483184064,338648.7200976278,139872427.69740576,162474303.11002624,8984861.985141892
5,2056.2040997918994,338648.720097628,150346977.07007113,164489040.1637961,9081355.354829831
6,2056.2040997918984,338648.72009762784,159936691.9830483,166496995.54376915,9169123.889407352
7,2056.204099791899,374295.953792115,168411188.37469268,168383267.8211984,9245196.07306991
8,2056.2040997919,374295.9537921149,175654220.39395607,169704289.60032135,9297410.176815884
9,2056.2040997918984,374295.9537921149,181618824.78190455,170575707.15207285,9331977.380598854
10,2056.2040997919,374295.9537921149,186291438.62039024,171073214.39547583,9351883.288720746
