period,oha,ohv,ogs
1,18456.50371687137,3651106.5999999996,102287537.8651802
2,19379.328902714962,3833661.929999998,109412590.21119039
3,19379.328902714966,3833661.930000003,116517245.97426756
4,19379.32890271495,3833661.9300000016,123372552.57904977
5,19379.328902714955,3833661.929999999,129769055.20576175
6,19379.32890271495,3833661.9299999974,135622677.70709932
7,19379.328902714962,3833661.929999998,140860424.25614357
8,18634.945851642915,3833661.930000002,145397207.52417937
9,19379.32890271495,3833661.9300000006,149253542.99652132
10,17668.871877538564,3833661.9300000006,152405376.07201427
