period,oha,ohv,ogs
1,63518.307572296675,12444004.260794295,91942952.38189277
2,60342.39219368192,11821804.047754545,89773942.23048799
3,60342.39219368184,11821804.047754575,87616425.92180328
4,60342.39219368184,11821804.04775457,85226535.13746712
5,62186.25979694972,11821804.047754576,82520957.80260436
6,65522.239942074884,11821804.047754591,79555692.55656387
7,66694.2229509115,13066204.473833995,74916146.74280505
8,66694.2229509116,13066204.473833984,69925985.17781052
9,66694.22295091163,13066204.473833995,64387865.612915516
10,66694.22295091157,13066204.473833999,58436994.30748659
