period,oha,ohv,ogs
1,14542.90603289901,2738330.2,103361392.4534155
2,15270.051334543945,2875246.7099999995,111512513.43176208
3,13815.760731254053,2875246.7100000004,119749808.22782837
4,15270.051334543956,2875246.710000001,127827145.91038662
5,15270.051334543954,2875246.7099999986,135457813.7855096
6,13815.760731254048,2875246.709999996,142517716.16512045
7,15062.254543090388,2875246.7099999995,148882751.3736571
8,15065.519786722929,2875246.709999997,154431205.9615327
9,15270.051334543961,2875246.7099999995,159057771.61826855
10,15270.051334543938,2875246.7099999986,162642118.54079443
