period,oha,ohv,ogs,ocp,ocf
1,41495.01554102244,9127763.999999998,95844411.512239,157521374.73854864,8396190.671803992
2,39420.264763971274,8671375.799999997,97404467.67965138,157172285.4579234,8328746.535588265
3,39420.264763971325,8671375.800000003,99090639.54542825,156721537.74421158,8243346.98878453
4,39420.264763971274,8671375.799999991,100627087.39865956,156700109.26015523,8238964.787022624
5,43418.125088362794,8671375.800000008,101864084.74908328,157194121.03819636,8259178.742624192
6,43569.76631807355,8671375.8,102782892.59094267,157864882.546451,8272485.265494664
7,43569.76631807352,8671375.800000004,103302356.76380365,158478629.41636205,8252482.694155342
8,43569.76631807346,8671375.800000016,103273953.70286524,158652352.19967794,8207220.286594582
9,43569.766318073474,9584152.2,101559334.64616019,158405485.633932,8110500.645042796
10,43569.766318073554,9584152.200000007,98882971.73025963,157681758.68470952,8064104.023493248
