period,oha,ohv,ogs,ocp,ocf
1,37016.02568142638,8214987.600000001,96918266.10047427,157546700.60546207,8444945.587969849
2,35165.22439735501,7804238.220000007,99494121.60574399,157376700.45531002,8385159.923518895
3,35165.22439735504,7804238.219999999,102215560.79497981,157205224.4718143,8325204.211764876
4,35165.22439735501,7804238.220000007,104794506.44471511,157575740.2191786,8357807.66967073
5,38038.69404958105,7804238.220000002,107059693.60439985,158210937.80303627,8368290.1063293945
6,38866.82696549771,7804238.219999997,108916049.78181411,158941887.69974658,8373333.4338545725
7,38866.82696549766,7804238.219999999,110247274.12393546,159661688.23646078,8361535.049902013
8,38866.82696549759,7804238.220000008,110974502.17206354,159978476.48385245,8326675.552337842
9,38866.82696549762,8625736.98000001,110087183.86839162,159926940.33922288,8254188.832988045
10,38866.82696549762,8625736.980000012,108335853.78415583,159452712.23831576,8203402.931577223
