period,oha,ohv,ogs,ocp,ocf
1,6905.818204423252,965573.9999999999,16882840.360833474,52506210.45374379,-257231.40589061458
2,7251.109114644412,917295.2999999996,19776893.628325455,53402645.13749778,-513882.597386705
3,7251.109114644413,917295.2999999999,22967614.22166116,54762621.93927263,-647256.2630099057
4,7251.109114644409,917295.2999999996,26349722.80970121,56436068.81360622,-722051.2688780926
5,7251.109114644412,917295.2999999993,29693397.47167054,58126918.387560956,-744469.4294109308
6,6560.527294202088,917295.2999999999,32878745.648486365,59976403.117926285,-789533.9236497055
7,6560.527294202086,917295.2999999999,35829217.94107677,61859369.36913601,-817177.5403999654
8,6560.527294202085,917295.2999999997,38527284.244475864,63773830.81811123,-819310.8366549633
9,6560.527294202088,917295.2999999997,40993178.77590539,65593805.2934765,-800312.6295249802
10,6560.527294202084,917295.2999999995,43346732.570585206,67265126.44091223,-724432.6848537923
