period,oha,ohv,ogs,ocp,ocf
1,7894.388701805495,1072860.0,16756621.537304059,52458725.09362144,-244897.41321541628
2,8289.108136895768,1019217.0000000001,19521861.957646772,53284928.493384786,-494990.293612583
3,8289.108136895768,1019216.9999999998,22576714.42007295,54555512.940338835,-623846.9292928315
4,8289.108136895764,1019216.9999999995,25822035.88181349,56126452.49151269,-697997.4439002723
5,8289.108136895766,1019216.9999999997,29029295.5811989,57731021.91604735,-719555.1541707201
6,7499.669266715219,1019216.9999999999,32077482.379454527,59478279.18859305,-767551.3522356789
7,7499.66926671522,1019216.9999999997,34901280.04358494,61277907.63182007,-799651.0693407468
8,7499.6692667152165,1019216.9999999997,37482259.897878796,63131871.26880611,-806160.9329948204
9,7499.669266715218,1019217.0,39842680.32551129,64882103.5555586,-791966.2065820263
10,7499.669266715215,1019216.9999999997,42116474.00719399,66508493.701220304,-718230.2377564971
