period,oha,ohv,ogs,ocp,ocf
1,1292.8327592975993,214572.00000000003,17766372.12553935,52811310.96232999,0.0
2,1228.1911213327191,203843.40000000005,21534789.98944861,54163953.83518565,0.0
3,1228.191121332719,203843.40000000002,25642923.92577941,56095182.57658072,0.0
4,1228.1911213327191,203843.4,29960422.29782998,58387994.04575588,0.0
5,1228.1911213327194,203843.40000000005,34237497.18998236,60718876.10241571,0.0
6,1228.1911213327191,203843.39999999997,38318043.69423178,63120321.332558356,0.0
7,1315.8895255712234,203843.40000000005,42116623.94096886,65517294.22455719,0.0
8,1357.4743972624794,203843.40000000008,45578254.1201757,67894795.45703256,0.0
9,1228.191121332719,203843.40000000005,48665208.8693874,70152763.2254266,0.0
10,1357.474397262479,203843.40000000002,51462280.64069993,72198511.61289124,0.0
