period,oha,ohv,ogs,ocp,ocf
1,28.591363753309896,3929.149347272153,18014187.243954323,52883501.041660294,-344454.9010188076
2,27.1617955656444,4125.606814635761,22025164.976725105,54325515.138760746,-655582.7374048097
3,27.16179556564439,4125.606814635761,26376850.760726716,56359838.89092023,-814300.3474033757
4,27.16179556564439,4125.60681463576,30928706.533273727,58756451.719462045,-893467.3032294958
5,27.161795565644404,4125.606814635761,35428280.234783046,61188738.901420005,-910860.7638629851
6,30.020931940975423,3732.6918799085483,39717883.324489154,63689242.24414593,-934592.4715674102
7,30.020931940975395,3732.691879908545,43704100.27551145,66163857.274970815,-928162.4099545426
8,30.020931940975395,3732.691879908545,47335000.60498358,68583621.26226866,-899930.0771750609
9,30.020931940975398,3732.691879908545,50575691.16337286,70869203.27221717,-851691.6500814693
10,30.020931940975395,3732.6918799085456,53495282.64405509,72942870.23067929,-762714.5667571811
