period,oha,ohv,ogs,ocp,ocf
1,2048.550899117048,196783.1123817443,6785740.182253982,27191035.071403325,0.0
2,0.0,0.0,9448075.33499475,28594805.906506814,0.0
3,0.0,0.0,12456862.290158004,30080832.420937244,0.0
4,0.0,0.0,15641289.500047605,31596448.47266425,0.0
5,0.0,0.0,18831562.563900217,33104560.922646336,0.0
6,0.0,0.0,21892650.315925345,34579585.6643921,0.0
7,0.0,0.0,24728328.019744378,35993495.838694885,0.0
8,0.0,0.0,27281005.17136749,37319793.3457457,0.0
9,0.0,0.0,29503199.251725737,38533344.10978043,0.0
10,0.0,0.0,31374026.156394895,39625340.0427539,0.0
