period,oha,ohv,ogs
1,11211.623841042827,689460.4000000001,6206119.843879563
2,10651.042648990684,723933.4199999995,7805823.047422919
3,11227.264141839929,723933.42,9550949.478550171
4,11630.079380019819,723933.4199999993,11258121.860492477
5,11008.792990775539,723933.4199999997,12824871.134054344
6,10651.042648990684,723933.4199999997,14186129.882979505
7,11046.789902706192,723933.4199999998,15330429.75309608
8,10651.04264899068,723933.4199999995,16268312.204478772
9,11037.333155678163,723933.4199999997,16993192.70917152
10,11219.374124494727,723933.4199999999,17496888.891481224
