period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,7017249.726232503,27273065.033434022,0.0
2,0.0,0.0,9700620.051466752,28695862.57686534,0.0
3,0.0,0.0,12719229.361935288,30180582.2849799,0.0
4,0.0,0.0,15896765.982466124,31690440.666739218,0.0
5,0.0,0.0,19068525.8238494,33196095.728546843,0.0
6,0.0,0.0,22104938.24670586,34668506.641127005,0.0
7,0.0,0.0,24911251.59021332,36076994.86304487,0.0
8,0.0,0.0,27433001.584129617,37396427.2938627,0.0
9,0.0,0.0,29624894.22127207,38601790.60445418,0.0
10,5667.246790411237,1014244.090048071,30272870.713824622,39488351.23425802,0.0
