period,oha,ohv,ogs
1,318.9571479422834,76606.6,6927124.314467795
2,334.9050053393977,72776.27000000002,9520779.66212159
3,334.9050053393975,72776.27000000003,12446024.341811301
4,334.90500533939763,72776.27000000002,15526044.02021644
5,334.9050053393976,72776.27000000002,18597465.07360523
6,323.18417339324446,72776.27000000002,21531786.821018066
7,303.0092905451693,72776.27,24237678.463792443
8,303.0092905451692,72776.27000000002,26663940.617716692
9,303.0092905451693,79184.60528441617,28760604.244916923
10,303.0092905451693,72776.27000000002,30524740.810059205
