period,oha,ohv,ogs,ocp,ocf
1,278.89723641874326,27699.88411827929,6984661.627269821,26733188.470816277,-495754.8208506332
2,264.95237459780617,29084.87832419325,9631252.196963407,27886817.183608644,-538915.5524052227
3,264.952374597806,29084.87832419325,12612111.29509251,28923295.42391643,-560930.8837823216
4,264.95237459780606,29084.87832419325,15753666.98439209,29754020.007804576,-576012.5726403833
5,292.8420982396805,27409.410346351517,18894954.59227679,30326023.14482901,-582512.3137645866
6,292.8420982396806,26314.889912365325,21907490.161443423,30667247.800184406,-587083.5665821922
7,292.8420982396804,26314.88991236532,24695406.335496712,30847224.084280945,-589318.870620402
8,280.0492141147123,26314.889912365354,27202878.985771373,30936219.126267906,-589401.7702911668
9,270.91907309811836,26314.889912365317,29384321.907191157,30976365.133490585,-588579.0309787354
10,264.9523745978061,26314.889912365325,31218685.067453828,30998280.6838014,-588766.7908039911
