period,oha,ohv,ogs
1,1256.2239357361002,229819.79999999996,6746873.490938385
2,1319.035132522905,218328.81,9165191.642860593
3,1319.0351325229049,218328.80999999994,11904083.761312442
4,1319.035132522905,218328.80999999997,14783467.846241495
5,1230.807787976905,218328.80999999997,17637680.779851377
6,1193.4127389492949,218328.81,20341648.620422486
7,1193.4127389492949,218328.81000000006,22817308.01360724
8,1193.412738949295,218328.81,25024241.41825838
9,1193.4127389492953,218328.81,26928836.544323914
10,1193.412738949295,218328.81,28511721.364969492
