period,oha,ohv,ogs,ocp,ocf
1,2520.584142726909,306426.4,6656748.079173682,27147021.813187335,0.0
2,2394.5549355905623,291105.07999999996,8977607.192239134,28428698.207889907,0.0
3,2394.5549355905623,291105.08,11610376.585976068,29772423.287463006,0.0
4,2394.554935590563,291105.07999999996,14398152.045419432,31166391.521743745,0.0
5,2562.432779804658,291105.07999999996,17172439.812218394,32467851.844021212,0.0
6,2394.5549355905623,291105.0800000001,19825171.959826883,33757167.76758165,0.0
7,2394.554935590562,291105.08,22274396.123569198,35029052.80581317,0.0
8,2394.5549355905628,291105.07999999996,24473056.924578946,36257362.51682876,0.0
9,2394.5549355905623,291105.07999999996,26383780.453551088,37426526.836451806,0.0
10,2646.613349863254,291105.07999999996,27990122.98621501,38469905.18486124,0.0
