period,oha,ohv,ogs
1,28133.01047196216,5476659.399999999,100139828.68870957
2,29539.660995560294,5750492.370000005,105016214.41262291
3,29519.945253640515,5750492.370000001,109813817.36336909
4,28525.196291412783,5750492.370000004,114319382.74562323
5,29535.531435230314,5750492.370000002,118357211.67217866
6,28931.704714645446,5750492.369999998,121967889.84244965
7,28677.60114361756,5750492.369999995,125202563.04447678
8,29539.46249265454,5750492.370000004,128062854.13032436
9,29286.685859542664,5750492.370000004,130559833.31166467
10,26760.268968288354,5750492.370000006,132712962.11229105
