period,oha,ohv,ogs,ocp,ocf
1,40893.060526201756,9127764.0,95844411.51223896,157207288.20658752,-1633709.7813339978
2,38848.40749989168,8671375.800000012,97376394.98075883,156467421.42698973,-1746969.1197983064
3,42644.68881319106,8671375.800000018,98999595.17381538,155490293.14749444,-1861809.5843217599
4,42937.71355251182,8671375.80000001,100444611.36108702,155655033.44982955,-1958426.3341832347
5,42937.71355251186,8671375.800000018,101774128.91247508,155715365.43549463,-1952948.3793864083
6,42937.71355251183,8671375.800000014,102982397.71813528,156062877.07621288,-1930628.4195703664
7,42937.713552511894,8671375.800000018,103843627.63581976,156223910.80315152,-1886841.0010059525
8,40301.790161655525,8671375.800000014,103908616.23691182,156184564.23794767,-1899115.238991828
9,38848.40749989174,8671375.800000018,103389925.6742663,156745186.05967668,-1971565.2473434564
10,38848.407499891655,8671375.800000008,103039170.11862376,157343076.6307629,-2012577.8894390934
