period,oha,ohv,ogs,ocp,ocf
1,41282.0875520324,9127764.000000002,95844411.51223898,157519395.4347482,8397399.441884918
2,39217.98317443074,8671375.8,97402645.2312679,157174755.8264506,8330513.062433977
3,39217.9831744308,8671375.800000006,99082067.76678213,156715266.09339547,8243659.856967852
4,39217.98317443074,8671375.799999993,100611343.53736608,156706759.54178032,8242772.747588601
5,43346.19192963398,8671375.8,101837580.51853997,157198411.9638794,8260957.031773377
6,43346.191929634006,8671375.8,102748105.41022973,157870186.42996266,8276427.359143608
7,43346.191929633955,8671375.800000003,103252490.96773334,158488631.16023895,8257050.642543242
8,43346.19192963392,8671375.800000018,103203231.86942342,158640827.91470537,8210485.060726889
9,43346.19192963393,8671375.799999995,102522225.84009491,158496108.9555953,8147785.530643949
10,43346.19192963396,8671375.799999999,101013109.68820687,157969331.14535242,8084377.640096433
