period,oha,ohv,ogs,ocp,ocf
1,23273.367764846484,5476658.399999999,100139829.86518021,157706769.24548572,8605718.50154788
2,22109.6993766042,5202825.48,105741631.44953425,158112464.63229263,8573922.18448469
3,22109.699376604163,5202825.479999995,111491625.39100032,158733358.7641453,8574836.323428448
4,22109.69937660417,5202825.480000004,117051227.16059814,159590672.36889267,8610083.355469137
5,24437.036153088837,5202825.480000004,122132372.97262444,160658269.6894755,8641294.661993777
6,24437.036153088822,5202825.480000006,126572417.92911698,161802544.52715173,8669360.153139167
7,24437.036153088826,5202825.479999998,130309176.42094131,162939546.97584867,8688647.325600956
8,24437.036153088837,5202825.48,133294514.47601296,163637776.52569434,8689276.190497711
9,24437.03615308883,5202825.479999995,135482141.941963,164005321.90692776,8677860.227901325
10,24437.036153088808,5202825.480000002,136873036.7737738,164128865.98491547,8659987.255471783
