period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,106582957.39459197,157790656.76566607,-1770209.3960019425
2,0.0,0.0,118224920.51249859,158972163.1841886,-2271884.2768662423
3,0.0,0.0,129989851.70913523,160644384.69835004,-2544128.0230716104
4,0.0,0.0,141494120.42720646,162560823.9659139,-2694757.570822244
5,0.0,0.0,152371267.0116893,164621474.70722023,-2781390.234234884
6,0.0,0.0,162362883.529429,166683802.98814917,-2838391.291657206
7,0.0,0.0,171267016.11607596,168618433.40532938,-2882833.1771263643
8,0.0,0.0,178920616.70162213,169987291.1110697,-2899309.7393243625
9,0.0,0.0,185282750.13087994,170907436.1250457,-2894621.448552502
10,0.0,0.0,190335984.1251912,171456452.9924036,-2902603.9536014926
