period,oha,ohv,ogs
1,10530.730459239168,1825553.8000000005,104435247.04165077
2,11009.045504168967,1916831.4900000012,113715339.36756216
3,10004.193936277212,1916831.4900000028,123045416.11964454
4,10352.132130841348,1916831.4900000005,132122659.77356158
5,10221.010958129304,1916831.49,140680627.04456434
6,10004.193936277206,1916831.490000001,148512796.29119885
7,10595.047141564957,1916831.4900000007,155513939.88275844
8,10004.193936277206,1916831.4900000005,161463604.3469808
9,11057.266982201125,1916831.4900000023,166453822.74928334
10,10004.193936277208,1916831.489999999,170314908.26588488
