period,oha,ohv,ogs
1,37629.734798014244,9127763.999999998,95844411.51223901
2,39511.22153791493,8671375.799999991,97392358.67569241
3,39511.221537914906,8671375.799999997,99049206.05535085
4,39511.22153791492,8671375.79999999,100549849.6483004
5,39511.22153791492,8671375.799999993,101750776.24151553
6,39511.22153791492,8671375.799999991,102650488.78894532
7,39460.90094395197,8671375.799999984,103216682.49411544
8,35748.248058113466,8671375.799999995,103344077.73796651
9,35748.24805811349,8671375.799999997,102859699.54904282
10,35748.24805811347,8671375.799999982,101843663.10733013
