period,oha,ohv,ogs,ocp,ocf
1,28818.357438903135,6389434.8,99065975.2769449,157169097.12639743,-1679247.8097209332
2,27508.541757188636,6069963.060000005,103631670.20545998,156843490.27957556,-1940384.4385319334
3,30259.27531084829,6069963.06,108320473.30967073,156665656.5304891,-2135360.1349137384
4,30259.275310848283,6069963.060000004,112905630.31732385,157075505.5685591,-2273076.6314181564
5,30259.275310848298,6069963.060000003,117323170.94139573,157971416.9574607,-2337494.0642047925
6,30259.275310848298,6069963.060000005,121533243.48833972,159080233.74899054,-2322465.0063753314
7,30259.275310848305,6069963.06,125409463.09277408,159795365.29968148,-2291916.243876806
8,27377.43956695798,6069963.059999998,128559191.8257379,160407457.0950878,-2323332.8111568154
9,27377.439566957986,6069963.060000002,130863521.31944014,160985447.2054246,-2349509.0012294296
10,27377.439566957964,6069963.060000006,132678096.2400341,161708258.10426727,-2364894.3050658577
