period,oha,ohv,ogs
1,20362.20872834497,5476658.3999999985,100139829.86518021
2,21380.319164762215,5202825.479999994,105732863.51458722
3,21380.319164762197,5202825.47999999,111501805.08886304
4,21380.319164762215,5202825.479999997,117151691.65218948
5,21380.31916476222,5202825.479999996,122425698.12342095
6,20075.353972951605,5202825.480000005,127209518.79961905
7,19344.098291927705,5202825.479999998,131381632.50440986
8,19344.098291927712,5202825.479999998,134796922.21152383
9,19344.098291927712,5202825.479999999,137342464.74849245
10,19344.09829192771,5202825.48,139017738.9529616
