period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,7017249.726232503,26743040.751476888,-496243.7843432586
2,0.0,0.0,9700620.051466752,27908463.962650772,-539650.5835386505
3,0.0,0.0,12719229.361935288,28956086.62661132,-561552.6313738992
4,0.0,0.0,15896765.982466124,29797265.57996609,-576574.5602461047
5,0.0,0.0,19068525.8238494,30379061.23405194,-583205.6826000151
6,0.0,0.0,22104938.24670586,30726212.63641366,-587570.5219488072
7,0.0,0.0,24911251.59021332,30910317.772966594,-589720.8937739187
8,0.0,0.0,27433001.584129617,31001620.931381866,-589543.0276452827
9,0.0,0.0,29624894.22127207,31042171.65687222,-588709.3154890813
10,0.0,0.0,31466099.055057645,31062932.530279562,-588897.8526329818
