period,oha,ohv,ogs
1,7386.889207641735,459640.6,6476496.079173678
2,7017.544747259646,482622.63,8434969.665598199
3,7017.544747259649,482622.63000000006,10595613.324320802
4,7404.491541253275,482622.63,12797456.915121723
5,7017.544747259652,482622.63,14907844.635894263
6,7017.544747259645,482622.6299999999,16844974.420705963
7,7668.175274399136,482622.6300000001,18575295.397405513
8,7043.60075181353,482622.63000000024,20078540.198541492
9,7017.544747259652,482622.6300000001,21329375.80284064
10,7756.233668023822,482622.6299999998,22308931.577591863
