period,oha,ohv,ogs
1,12254.573428122887,766066.0,6115995.608585447
2,12867.302099529028,804369.3,7633251.962824212
3,12286.160586682074,804369.3000000002,9241735.524823658
4,12054.556495322975,804369.3,10802269.345121076
5,11641.844756716739,804369.3,12216876.191443289
6,11808.410102367607,804369.2999999997,13425089.830225348
7,11641.84475671675,804369.2999999999,14405160.51138716
8,12867.302099529037,804369.2999999998,15190333.329032926
9,12122.49598931952,804369.3,15774757.11357038
10,12867.302099529028,804369.2999999999,16169160.713958802
