period,oha,ohv,ogs
1,4797.822623130725,306427.4000000001,6656746.90270309
2,5037.7137542872615,321748.77,8868336.449357143
3,4557.931491974189,321748.77,11314020.148816315
4,4557.931491974186,321748.77000000014,13836513.052026361
5,4557.931491974187,321748.7700000001,16306276.357576914
6,4557.93149197419,321748.77000000014,18617687.27547101
7,4852.334186567645,321748.77,20710694.440272354
8,5037.713754287262,321748.77,22560987.44263305
9,4557.931491974189,321748.77,24125569.718536243
10,5037.713754287261,321748.77000000014,25394323.95693192
