period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,106582957.39459197,180549484.78391996,0.0
2,0.0,0.0,118224920.51249859,184638911.1315156,0.0
3,0.0,0.0,129989851.70913523,189383868.10697374,0.0
4,0.0,0.0,141494120.42720646,194271173.84420553,0.0
5,0.0,0.0,152371267.0116893,199066291.24519637,0.0
6,0.0,0.0,162362883.529429,203645017.0821221,0.0
7,0.0,0.0,171267016.11607596,207949923.29187536,0.0
8,0.0,0.0,178920616.70162213,211904608.10297626,0.0
9,0.0,0.0,185282750.13087994,215449921.15540642,0.0
10,0.0,0.0,190335984.1251912,218617175.6900308,0.0
