period,oha,ohv,ogs
1,28600.995370182627,7302211.199999999,97992120.68870963
2,30031.045138691752,6937100.639999989,101566886.84717198
3,30031.04513869174,6937100.639999991,105312570.81938098
4,30031.045138691763,6937100.639999999,108939717.72865815
5,30031.045138691752,6937100.639999999,112232081.5573054
6,29796.715361923245,6937100.640000005,115133711.91295302
7,27404.697224434567,6937100.639999988,117585682.7274604
8,27170.945601673502,6937100.639999998,119420674.07047397
9,27170.94560167349,6937100.639999996,120425242.1512763
10,27170.94560167349,6937100.639999999,120695651.08033912
