period,oha,ohv,ogs
1,37222.328644126,7302212.200000002,97992119.512239
2,39083.44507633225,7667322.81000001,100626049.35357873
3,39083.44507633229,7667322.810000009,103136810.97070092
4,39083.44507633229,7667322.810000008,105379668.40605162
5,39083.445076332304,7667322.810000006,107157791.91130108
6,39083.44507633229,7667322.810000009,108578710.6385379
7,39083.445076332275,7667322.8100000005,109776549.70960197
8,39083.44507633226,7667322.81,110823351.50617574
9,39047.81341913667,7667322.810000003,111747153.05607423
10,35361.21221191968,7667322.810000002,112615251.1545397
