period,oha,ohv,ogs
1,5359.513160334411,912777.4,105509101.62988608
2,5108.991828728936,958416.2700000001,115971004.07384068
3,5091.53750231769,958416.2699999998,126530612.16495085
4,5096.9650606267105,958416.2699999998,136844588.59450805
5,5091.537502317693,958416.2699999998,146590157.3321393
6,5091.537502317687,958416.2699999993,155543752.1456626
7,5443.226018827687,958416.2700000003,163532645.0231334
8,5300.572393451083,958416.2700000005,170383001.243907
9,5627.488818351131,958416.2699999998,176064006.27113312
10,5554.6667116538765,958416.269999999,180575945.1766578
