period,oha,ohv,ogs
1,22342.581185221152,3651106.6,102287537.86518016
2,21225.45212596007,3833661.9300000067,109204741.42651008
3,21225.452125960062,3833661.930000001,116156217.36752379
4,21225.452125960048,3833661.930000004,122837036.31176217
5,21225.452125960077,3833661.9299999997,129059054.01994883
6,21225.452125960073,3833661.929999998,134731313.70564964
7,21225.45212596009,3833661.9300000053,139795316.8209244
8,21254.659219869925,3833661.929999997,144012196.47380948
9,21225.452125960062,3833661.9300000053,147272094.6104089
10,21225.452125960044,3833661.930000005,149948380.84740862
