period,oha,ohv,ogs
1,42203.75586979333,9063691.445057044,95919790.98864244
2,15187.384187681722,3114717.7204973195,104032695.96024738
3,12998.244797985857,2647658.1768493825,112896426.23146176
4,20670.944597484762,4096631.6455717348,119992606.6686834
5,21090.90391968021,4536358.718326448,126209096.09382248
6,34797.618268068,7221372.057211272,128765863.38438864
7,41433.66147030359,8307416.693854843,129482423.10019158
8,43061.46040180165,8406746.10184002,129472679.67283618
9,38085.234247830755,7477725.169830412,130011236.12556437
10,370026.8069290053,78573844.31687003,46476861.44395898
