period,oha,ohv,ogs,ocp,ocf
1,33924.662462141656,7302211.2,97992120.68870957,178127918.03139102,0.0
2,32228.429339034607,6937100.639999995,101490620.92017896,179258449.57402605,0.0
3,32933.04519976287,6937100.640000012,105064725.98668881,180904540.34619084,0.0
4,35620.89558524871,6937100.640000003,108509183.0134868,182694496.01562366,0.0
5,33907.28208493727,6937100.640000005,111763096.0023075,184812973.2652301,0.0
6,32228.429339034596,6937100.639999997,114842279.99872665,187028455.87021497,0.0
7,32228.42933903458,6937100.640000011,117677396.49313952,189474568.0521254,0.0
8,32435.298006232802,6937100.6400000015,119817469.16895923,191578095.70610747,0.0
9,32228.42933903458,6937100.640000004,121279955.35992897,193521388.5719688,0.0
10,35620.89558524872,7667321.7600000035,121348572.7985233,195273525.36143416,0.0
