period,oha,ohv,ogs
1,12782.581963230617,3651105.6,102287539.04165077
2,13421.711061392169,3468550.3199999994,109906302.10425541
3,13421.71106139215,3468550.3199999975,117692988.66329664
4,13156.50957905982,3468550.3199999966,125341438.68739878
5,12320.699287535845,3468550.3199999956,132563972.6549653
6,12624.984789868797,3468550.319999998,139165348.46912652
7,12362.023915824791,3468550.319999999,145001143.0489772
8,12437.579109915087,3468550.319999999,149934798.6997658
9,12143.452865069085,3468550.3200000003,153901032.81786636
10,12143.452865069086,3468550.3199999984,156850136.59877092
