period,oha,ohv,ogs
1,2688.642074899298,912776.4,105509102.80635667
2,2823.0741786442622,867137.5799999994,116137451.8059282
3,2823.0741786442627,867137.5799999996,126896895.34852123
4,2778.3225114669945,867137.5799999994,137423518.8720039
5,2740.5396763525077,867137.5799999996,147382053.59794724
6,2752.0723023243017,867137.5799999997,156546478.98034844
7,2756.5123775243505,867137.5799999997,164735213.61712983
8,2692.1489438418707,867137.5799999998,171794898.60194513
9,2572.0449291615437,867137.5799999991,177689404.65379372
10,2554.2099711543333,867137.58,182370874.37596673
