period,oha,ohv,ogs
1,24339.293001402224,6389434.799999999,99065975.2769449
2,25556.25765147231,6069963.059999991,103649216.320118
3,25556.25765147233,6069963.059999991,108407947.31199132
4,25556.257651472322,6069963.059999992,113047586.64665912
5,25556.257651472326,6069963.059999995,117323092.05654648
6,24988.44757480507,6069963.060000004,121146574.68035705
7,23122.3283513321,6069963.059999995,124456930.72001462
8,23122.328351332086,6069963.059999994,127073178.8607569
9,23122.32835133211,6069963.059999996,128823565.1866991
10,23122.3283513321,6069963.059999998,129775252.71280763
