period,oha,ohv,ogs
1,16490.21141645024,4563882.0,101213684.4534155
2,17314.72198727276,4335687.899999996,107819499.9641673
3,17314.721987272736,4335687.899999995,114595984.8846294
4,17314.72198727276,4335687.899999999,121245982.06150047
5,17314.72198727275,4335687.899999997,127507842.4830181
6,15894.656141708547,4335687.899999999,133217799.6889134
7,15803.801031734265,4335687.899999998,138237431.36516553
8,15747.152407167492,4335687.899999997,142446748.50761646
9,15665.700845627724,4335687.899999998,145740768.09263226
10,15665.700845627713,4335687.8999999985,148088186.1874598
