period,oha,ohv,ogs,ocp,ocf
1,4114.943023499123,536246.2,6386371.843879562,26675159.498488683,1509504.2361155855
2,4277.5140902987,509433.88999999996,8431243.374597646,27714605.826917402,1582867.497282071
3,3983.0441825888197,509433.8899999999,10755541.199877352,28658736.28115164,1660611.2594924758
4,3909.1958723241664,509433.8900000001,13193986.986676108,29377107.374219574,1713751.5827656968
5,3909.195872324168,509433.88999999996,15593221.033429973,29816514.288691316,1745858.8217579797
6,3909.1958723241673,509433.88999999984,17839162.012688756,30037027.387202624,1758530.36516258
7,3909.1958723241655,509433.89,19855295.51087881,30127898.431329492,1758672.4955952414
8,4320.690174674081,509433.8899999998,21599649.990551114,30179940.916509714,1754843.6176917576
9,4320.6901746740805,509433.89,23038871.221095636,30194550.2995882,1752460.4860858128
10,4320.69017467408,509433.88999999996,24164186.771647904,30180994.274215546,1749925.5341821176
