period,oha,ohv,ogs,ocp,ocf
1,6710.818450021363,766066.0,6115995.608585443,26698009.09933074,1489594.5702023953
2,7046.359372522434,727762.6999999996,7853188.3539917525,27641021.813411728,1553085.523508119
3,7029.085440105914,727762.7,9817312.012849765,28432223.732203357,1613647.8656673057
4,6375.277527520295,727762.7,11840092.626232607,28999921.32301261,1657600.2093026713
5,6375.277527520294,727762.7,13776441.557446277,29184127.83219096,1670096.9966044761
6,6375.277527520294,727762.7,15586150.844416441,29141540.865076564,1653113.3941058635
7,6375.277527520305,727762.6999999997,17224449.821810815,29274840.65255324,1685006.4152552248
8,6375.277527520297,727762.6999999997,18704833.50756027,29467334.450069916,1700310.1031652284
9,7046.359372522434,804369.2999999998,19932085.94069379,29699389.03392799,1701905.011171778
10,7046.359372522433,804369.2999999998,20936421.59859274,29865995.460617486,1699022.5028404063
