period,oha,ohv,ogs
1,2429.195889904036,383033.0,6566622.667408975
2,2550.655684399238,363881.34999999986,8801119.60673421
3,2550.6556843992385,363881.3499999999,11335985.701668967
4,2550.655684399238,363881.35000000003,13983829.385649418
5,2307.7360954088335,363881.35,16594136.483200913
6,2307.736095408834,363881.3499999999,19045967.892119806
7,2307.7360954088344,363881.3499999998,21275624.34914269
8,2307.736095408834,363881.35,23264561.2140713
9,2307.736095408834,363881.34999999986,24981348.168188028
10,2307.7360954088344,363881.3499999998,26417984.83731028
