period,oha,ohv,ogs
1,10007.4896233189,612853.8,6296245.255644269
2,9507.115142152954,643496.4899999999,8018727.181291797
3,9544.44857024225,643496.4900000003,9901405.640595451
4,9507.115142152956,643496.4899999999,11782866.293375757
5,9996.880547493649,643496.4900000001,13553289.586517952
6,9507.115142152954,643496.4900000001,15133352.517473008
7,9507.115142152956,643496.4900000002,16495003.973784361
8,9879.99848661555,643496.4900000002,17645155.95473369
9,9507.115142152954,643496.4900000001,18561921.66649734
10,9507.115142152956,643496.4899999998,19232256.57370293
