period,oha,ohv,ogs
1,3828.649259958512,229820.8,6746872.314467796
2,3637.2167969605875,241311.84000000005,9071649.144264797
3,3637.216796960587,241311.84000000003,11659641.378215449
4,3704.3817011274023,241311.84000000005,14340577.487893825
5,3637.216796960586,241311.83999999997,16981652.219712056
6,3747.984034333752,241311.84,19471355.4778016
7,3686.916623534216,241311.83999999997,21747570.834944606
8,3637.216796960587,241311.84000000003,23774357.83825482
9,3637.216796960587,241311.84000000003,25503961.422803454
10,3637.216796960587,241311.84,26914218.183188558
